,0
1133,H77597
1134,H77603
1135,H77662_f
1136,H78063
1137,H78329
1138,H78346
1139,H78374
1140,H78386
1141,H78400
1142,H78404
1143,H78816
1144,H79136
1145,H79296
1146,H79329
1147,H79341
1148,H79349
1149,H79492
1150,H79507
1151,H79713
1152,H79713
1153,H79781
1154,H79781
1155,H79817
1156,H79819
1157,H79823
1158,H79974_i
1159,H79974_r_i
1160,H80032
1161,H80032
1162,H80057_f
1163,H80114
1164,H80152
1165,H80215_f
1166,H80240_f
1167,H80259
1168,H80262
1169,H80342
1170,H80543
1171,H80739
1172,H80975
1173,H81068
1174,H81202_i
1175,H81202_r
1176,H81313
1177,H81413_i
1178,H81558
1179,H81586
1180,H81586
1181,H81620
1182,H81650
1183,H81821
1184,H81848
1185,H82100
1186,H82137
1187,H82204
1188,H82228
1189,H82272_i
1190,H82272_r
1191,H82409
1192,H82435
1193,H82631
1194,H82723
1195,H82729
1196,H82741
1197,H82820
1198,H82897
1199,H82962
1200,H82966
1201,H82970
1202,H83003
1203,H83112
1204,H83392_i
1205,H83392_r_i
1206,H83392_r_i
1207,H83699
1208,H83703
1209,H83844
1210,H83932
1211,H83996
1212,H84032
1213,H84032
1214,H84061
1215,H84102
1216,H84114
1217,H84154
1218,H84178
1219,H84178
1220,H84228
1221,H84249_f
1222,H84249_i
1223,H84789
1224,H84795
1225,H84804
1226,H84912_f
1227,H84913
1228,H85102
1229,H85123
1230,H85136
1231,H85348
1232,H85444
1233,H85478
1234,H85528
1235,H85596
1236,H85849
1237,H85878_f
1238,H85953
1239,H86039_i
1240,H86039_r
1241,H86045
1242,H86071
1243,H86488_f
1244,H86488_i
1245,H86518
1246,H86546_f
1247,H86546_i
1248,H86554
1249,H86583
1250,H86583
1251,H86710
1252,H86783
1253,H86799
1254,H86799
1255,H86803
1256,H87001
1257,H87013
1258,H87106_f
1259,H87106_f
1260,H87135
1261,H87176
1262,H87189
1263,H87189
1264,H87193
1265,H87216
1266,H87216
1267,H87343
1268,H87343
1269,H87358_f
1270,H87358_f
1271,H87362
1272,H87371
1273,H87372
1274,H87462
1275,H87465
1276,H87473
1277,H87709
1278,H87716
1279,H87729
1280,H87730
1281,H87730
1282,H87743
1283,H87789
1284,H88261
1285,H88296
1286,H88360_f
1287,H88360_i
1288,H88522
1289,H88787
1290,H88809_i
1291,H88809_r
1292,H88876_f
1293,H88888_f
1294,H88888_i
1295,H88888_r_i
1296,H88898_i
1297,H88898_r
1298,H88938_f
1299,H88938_f
1300,H88938_i
1301,H88938_i
1302,H88945
1303,H89087
1304,H89088
1305,H89333_f
1306,H89357_f
1307,H89374
1308,H89477
1309,H89507
1310,H89604
1311,H89688_f
1312,H89921
1313,H89949
1314,H90055
1315,H90136
1316,H90495
1317,H90535
1318,H90763
1319,H90764
1320,H90874
1321,H90894
1322,H90906
1323,H91144
1324,H91248
1325,H91274
1326,H91298
1327,H91299_f
1328,H91299_f
1329,H91475
1330,H91679
1331,H91680
1332,H91696
1333,H91713
1334,H91826
1335,H91826
1336,H91834
1337,H91834
1338,H91842
1339,H91948
1340,H92024
1341,H92059
1342,H92279
1343,H92463
1344,H92506
1345,H92523
1346,H92556
1347,H92621
1348,H92639
1349,H92646
1350,J00073
1351,J00123
1352,J00140_i
1353,J00140_r
1354,J00146
1355,J00212
1356,J00214_f
1357,J00214_i
1358,J00214_r_i
1359,J00231_f
1360,J00268_f
1361,J00268_f
1362,J00268_i
1363,J00269
1364,J00270
1365,J00287_f
1366,J00301
1367,J02685
1368,J02761
1369,J02763_f
1370,J02770_f
1371,J02783
1372,J02814
1373,J02906
1374,J02923
1375,J02931
1376,J02933
1377,J02940
1378,J02940
1379,J02943_f
1380,J02943_f
1381,J02958
1382,J02963
1383,J02973
1384,J02988
1385,J03004
1386,J03019
1387,J03027_i
1388,J03027_r
1389,J03037_f
1390,J03037_i
1391,J03037_r_i
1392,J03040
1393,J03060
1394,J03068
1395,J03068
1396,J03075
1397,J03133
1398,J03161_i
1399,J03161_r_i
1400,J03239
1401,J03358
1402,J03460
